Gene_length	Strand	Gene_name	Ensembl_gene	Gene_biotype
15991	-	RBM12	ENSG00000244462	protein_coding
106	-	RNU6-450P	ENSG00000201524	snRNA
7542	+	OVAAL	ENSG00000236719	lincRNA
7054	+	PIMREG	ENSG00000129195	protein_coding
57339	+	TULP3	ENSG00000078246	protein_coding
25782	-	AC106892.1	ENSG00000250791	lincRNA
124743	+	POLD3	ENSG00000077514	protein_coding
1623	+	FAM167B	ENSG00000183615	protein_coding
11800	-	AC008278.1	ENSG00000224194	antisense_RNA
29008	+	INCENP	ENSG00000149503	protein_coding
228	+	CRIP1P4	ENSG00000182351	processed_pseudogene
3973	+	AL354761.1	ENSG00000224045	transcribed_unprocessed_pseudogene
1072	-	ATF4P1	ENSG00000213338	processed_pseudogene
977	+	OR5D17P	ENSG00000181837	unprocessed_pseudogene
6163	+	VPS25	ENSG00000131475	protein_coding
36138	+	LINC00507	ENSG00000256193	lincRNA
2597	+	NKILA	ENSG00000278709	antisense_RNA
20264	+	CISD2	ENSG00000145354	protein_coding
1458	-	AC068580.2	ENSG00000230834	lincRNA
1244	+	AC135388.1	ENSG00000256298	lincRNA
4274	+	AC007922.2	ENSG00000265094	sense_intronic
1237	-	AC026904.2	ENSG00000253140	lincRNA
124149	+	SNX30	ENSG00000148158	protein_coding
1059	+	MOB1AP2	ENSG00000233810	processed_pseudogene
1300	+	AC025887.1	ENSG00000263688	lincRNA
368	-	AC010632.3	ENSG00000275547	unprocessed_pseudogene
10251	+	THG1L	ENSG00000113272	protein_coding
134	+	Z97988.1	ENSG00000283356	unprocessed_pseudogene
1137	+	TNPO1P1	ENSG00000225423	processed_pseudogene
69970	+	AC063952.1	ENSG00000240661	transcribed_unitary_pseudogene
689	+	FBXO36P1	ENSG00000266117	processed_pseudogene
122962	+	YAP1	ENSG00000137693	protein_coding
2239	-	AC100810.3	ENSG00000282021	lincRNA
98	+	MIR1273F	ENSG00000264834	miRNA
1993	-	AC008555.3	ENSG00000270544	lincRNA
106	-	RNU6-29P	ENSG00000207367	snRNA
501	-	RPL8P2	ENSG00000225267	processed_pseudogene
594	-	AL158835.2	ENSG00000234134	sense_intronic
133	+	U8	ENSG00000200496	snoRNA
206	-	AC022726.1	ENSG00000267766	sense_intronic
89	-	pRNA	ENSG00000273966	misc_RNA
465	-	AC011939.3	ENSG00000275638	antisense_RNA
65108	+	LVRN	ENSG00000172901	protein_coding
113315	-	SEC24D	ENSG00000150961	protein_coding
516	-	RPL18AP15	ENSG00000236189	processed_pseudogene
91	-	MIR1296	ENSG00000221063	miRNA
480	-	AC022493.2	ENSG00000248967	processed_pseudogene
768	-	UQCRFS1P3	ENSG00000217314	processed_pseudogene
36162	-	DHRS12	ENSG00000102796	protein_coding
158	-	PRRC2CP1	ENSG00000216777	processed_pseudogene
26221	+	LIMS3	ENSG00000256977	protein_coding
43178	-	ANKRD20A8P	ENSG00000229089	protein_coding
100	-	RNU6-1110P	ENSG00000252271	snRNA
1845	+	PKMP1	ENSG00000236480	processed_pseudogene
106	-	RNU6-10P	ENSG00000206763	snRNA
473	+	AC136601.2	ENSG00000271681	processed_pseudogene
37	-	IGKJ1	ENSG00000211597	IG_J_gene
23033	+	ZNF317	ENSG00000130803	protein_coding
7912	-	PIGO	ENSG00000165282	protein_coding
864	-	NRBF2P3	ENSG00000237415	processed_pseudogene
65514	-	LINC02028	ENSG00000230102	processed_transcript
7746	-	BAK1	ENSG00000030110	protein_coding
29980	+	FP236383.1	ENSG00000280441	lincRNA
102871	+	AL160236.2	ENSG00000258892	processed_transcript
47974	+	AC116666.1	ENSG00000231937	antisense_RNA
31020	+	FAM92A	ENSG00000188343	protein_coding
3045	-	AP006587.6	ENSG00000265973	unprocessed_pseudogene
596	-	AC051619.9	ENSG00000279014	TEC
35873	-	RASSF9	ENSG00000198774	protein_coding
12410	+	CCNE1	ENSG00000105173	protein_coding
3456	+	FOS	ENSG00000170345	protein_coding
456	+	AC066692.1	ENSG00000238111	processed_pseudogene
18388	-	AC091544.3	ENSG00000258741	transcribed_processed_pseudogene
100437	-	LINC01677	ENSG00000233047	lincRNA
34025	-	SLC16A14	ENSG00000163053	protein_coding
4599	+	AC093248.1	ENSG00000250066	lincRNA
17535	-	P4HB	ENSG00000185624	protein_coding
7447	-	TUBB2B	ENSG00000137285	protein_coding
483	-	GCSHP1	ENSG00000248651	processed_pseudogene
963	-	AL049648.1	ENSG00000225417	antisense_RNA
756	+	IGKV4-1	ENSG00000211598	IG_V_gene
11611	+	APOL5	ENSG00000128313	protein_coding
964	-	AC087481.1	ENSG00000260382	processed_pseudogene
13938	-	NUDT12	ENSG00000112874	protein_coding
249	-	RN7SKP52	ENSG00000252028	misc_RNA
1285	-	AC022211.1	ENSG00000263786	sense_intronic
897	-	ZDHHC20-IT1	ENSG00000236953	sense_intronic
336	-	AC209154.1	ENSG00000266746	processed_pseudogene
80	-	MIR95	ENSG00000207807	miRNA
474	+	DUTP4	ENSG00000229829	processed_pseudogene
923	+	TAS2R41	ENSG00000221855	protein_coding
13539	+	SWI5	ENSG00000175854	protein_coding
2548	+	LINC02034	ENSG00000282975	lincRNA
7697	+	ACTA2-AS1	ENSG00000180139	antisense_RNA
121309	-	LMBRD1	ENSG00000168216	protein_coding
89301	+	EPAS1	ENSG00000116016	protein_coding
2112	-	AC107982.2	ENSG00000264273	antisense_RNA
93133	+	TAPT1-AS1	ENSG00000263327	antisense_RNA
94211	-	AL023755.1	ENSG00000228697	lincRNA
285	-	AC022400.4	ENSG00000270808	processed_pseudogene
188	+	AL929410.2	ENSG00000237528	processed_pseudogene
8992	+	AC003001.1	ENSG00000235461	lincRNA
575	+	LINC01855	ENSG00000267517	lincRNA
40797	+	NLRP8	ENSG00000179709	protein_coding
18095	-	PANK4	ENSG00000157881	protein_coding
72987	-	C16orf97	ENSG00000261190	processed_transcript
10948	-	TBC1D3F	ENSG00000275954	protein_coding
46508	+	AC233968.1	ENSG00000274615	unprocessed_pseudogene
904	-	AL365503.1	ENSG00000271111	processed_pseudogene
1347	+	MT1JP	ENSG00000255986	transcribed_unprocessed_pseudogene
4879	-	SNRPD2	ENSG00000125743	protein_coding
210	+	AP001506.1	ENSG00000276738	processed_pseudogene
378	+	AC005154.2	ENSG00000226874	processed_pseudogene
312	+	AL078603.1	ENSG00000271042	processed_pseudogene
17058	-	MNT	ENSG00000070444	protein_coding
70	-	MIR6511B2	ENSG00000283346	miRNA
375	+	HOTTIP_2	ENSG00000278708	misc_RNA
315	+	RN7SKP181	ENSG00000223120	misc_RNA
7366	-	AC090772.1	ENSG00000264924	antisense_RNA
42057	-	SLC25A20	ENSG00000178537	protein_coding
254	-	RPL23AP92	ENSG00000270723	processed_pseudogene
56204	-	NAIP	ENSG00000249437	protein_coding
70322	-	PPP4R3B	ENSG00000275052	protein_coding
2962	-	AC112512.1	ENSG00000214773	sense_intronic
1367	-	AC013286.1	ENSG00000230575	antisense_RNA
948	+	C1orf68	ENSG00000198854	protein_coding
7102	+	EMX2	ENSG00000170370	protein_coding
1638	-	AC109460.4	ENSG00000261552	antisense_RNA
365	-	AC006449.7	ENSG00000279119	TEC
130	-	SCARNA20	ENSG00000252722	scaRNA
387	+	AC244100.4	ENSG00000278690	lincRNA
23721	-	LINC01151	ENSG00000253819	lincRNA
306	-	RN7SKP244	ENSG00000252322	misc_RNA
580	+	AC011247.2	ENSG00000235586	antisense_RNA
8430	+	LILRA1	ENSG00000104974	protein_coding
345	-	ATP6V1G1P2	ENSG00000253502	processed_pseudogene
134	-	SNORA50B	ENSG00000253007	snoRNA
438	-	AC073352.2	ENSG00000272967	antisense_RNA
91	-	snoMe28S-Am2634	ENSG00000251844	snoRNA
106	-	RNU6-807P	ENSG00000252614	snRNA
567	-	AC022730.1	ENSG00000241105	processed_pseudogene
632	-	AP001330.3	ENSG00000253942	processed_pseudogene
69	+	SNORD114-5	ENSG00000199798	snoRNA
8662	-	TFPT	ENSG00000105619	protein_coding
1765	+	AC091060.1	ENSG00000278986	TEC
84	-	MREGP1	ENSG00000270395	processed_pseudogene
1051	+	AP000790.1	ENSG00000255331	processed_pseudogene
238	-	AC145423.2	ENSG00000274427	sense_intronic
42589	+	TOB1-AS1	ENSG00000229980	processed_transcript
24249	+	P2RX4	ENSG00000135124	protein_coding
4909	+	AP001029.2	ENSG00000267199	antisense_RNA
232511	+	MAST2	ENSG00000086015	protein_coding
12083	-	LINC02011	ENSG00000260902	lincRNA
3686	-	LCN1P1	ENSG00000119440	unprocessed_pseudogene
7316	+	BPIFA1	ENSG00000198183	protein_coding
12675	+	OR2A12	ENSG00000221858	protein_coding
331	-	AC011890.2	ENSG00000278317	processed_pseudogene
276	-	AC020914.4	ENSG00000268957	unprocessed_pseudogene
45286	+	ODF2	ENSG00000136811	protein_coding
11287	+	DHDH	ENSG00000104808	protein_coding
750710	+	NKAIN3	ENSG00000185942	protein_coding
1725	-	CLIC4P2	ENSG00000269546	processed_pseudogene
14714	+	C12orf29	ENSG00000133641	protein_coding
1560	+	AC092326.2	ENSG00000279729	TEC
747	-	AL590617.1	ENSG00000216802	processed_pseudogene
122	-	AC018692.3	ENSG00000280075	processed_pseudogene
317	+	RPL36P18	ENSG00000235656	processed_pseudogene
358	-	BUD31P1	ENSG00000253684	processed_pseudogene
2420	+	Z97989.1	ENSG00000255389	antisense_RNA
17714	-	SMIM2	ENSG00000139656	protein_coding
15617	+	HMGB3P22	ENSG00000225051	transcribed_processed_pseudogene
425	+	AC130343.2	ENSG00000277597	antisense_RNA
1215	-	ASS1P11	ENSG00000225308	processed_pseudogene
1103	-	RPL7P15	ENSG00000240622	processed_pseudogene
2962	-	CST2	ENSG00000170369	protein_coding
226432	+	TNKS	ENSG00000173273	protein_coding
1183	-	AC005730.2	ENSG00000261033	antisense_RNA
1062	+	EIF4A2P1	ENSG00000267336	processed_pseudogene
3126	+	ETV2	ENSG00000105672	protein_coding
309	-	AC079140.5	ENSG00000251689	processed_pseudogene
106807	-	LAMB4	ENSG00000091128	protein_coding
2402	-	AC100835.1	ENSG00000260919	antisense_RNA
15218	-	WASHC1	ENSG00000181404	protein_coding
131	+	SNORA38	ENSG00000200816	snoRNA
9536	+	FP325330.3	ENSG00000279712	lincRNA
11185	+	AL035706.1	ENSG00000237076	lincRNA
1857	-	HES6	ENSG00000144485	protein_coding
56726	+	NIPA1	ENSG00000170113	protein_coding
13077	+	IFIT3	ENSG00000119917	protein_coding
560	+	AC096586.1	ENSG00000272936	antisense_RNA
112	-	Y_RNA	ENSG00000238713	misc_RNA
194566	-	PARN	ENSG00000140694	protein_coding
75094	-	EIF4E3	ENSG00000163412	protein_coding
724	+	AL663070.1	ENSG00000228477	processed_pseudogene
10122	-	GLA	ENSG00000102393	protein_coding
73035	+	FAM163A	ENSG00000143340	protein_coding
63385	+	RGPD5	ENSG00000015568	protein_coding
153	-	CYP4A44P	ENSG00000261290	unprocessed_pseudogene
3258	+	APOC4	ENSG00000267467	protein_coding
901	+	AC092650.2	ENSG00000275423	processed_pseudogene
121909	-	CHRDL1	ENSG00000101938	protein_coding
88	+	MIR2276	ENSG00000252695	miRNA
3044	-	FRG2DP	ENSG00000261711	transcribed_unprocessed_pseudogene
96	+	HOTAIR_3	ENSG00000277994	misc_RNA
754	-	AL627309.7	ENSG00000268903	processed_pseudogene
690	+	AC002504.1	ENSG00000214111	processed_pseudogene
13370	+	PEG10	ENSG00000242265	protein_coding
62223	+	ANKRD42	ENSG00000137494	protein_coding
100919	+	NKD1	ENSG00000140807	protein_coding
1023	+	GEMIN8P2	ENSG00000260451	processed_pseudogene
2212	-	FRAT2	ENSG00000181274	protein_coding
14580	-	SSTR5-AS1	ENSG00000261713	processed_transcript
23845	-	AC016026.1	ENSG00000093100	processed_transcript
6412	-	FAM205A	ENSG00000205108	protein_coding
27431	-	ZBTB2	ENSG00000181472	protein_coding
77	+	AC016596.1	ENSG00000264281	processed_pseudogene
23069	-	NCF4-AS1	ENSG00000183822	antisense_RNA
55977	-	RHBDL2	ENSG00000158315	protein_coding
9708	+	LINC02020	ENSG00000234548	lincRNA
1759	-	DUSP8P3	ENSG00000215097	processed_pseudogene
1222	-	AC048382.6	ENSG00000276278	antisense_RNA
162	-	AC026421.1	ENSG00000253940	processed_pseudogene
406	+	RPS17P13	ENSG00000224706	processed_pseudogene
1693	-	CRYGC	ENSG00000163254	protein_coding
295	-	IGHV7-40	ENSG00000253467	IG_V_pseudogene
39513	-	CLGN	ENSG00000153132	protein_coding
132	+	RNU11-4P	ENSG00000212451	snRNA
112	+	Y_RNA	ENSG00000199550	misc_RNA
4114	+	AL031429.1	ENSG00000235782	antisense_RNA
2181	-	AC134312.6	ENSG00000261816	lincRNA
225	+	AC138701.2	ENSG00000258463	processed_pseudogene
1930	+	AC004674.1	ENSG00000235592	unprocessed_pseudogene
317	+	AL669983.1	ENSG00000169253	processed_pseudogene
130	+	MIR3652	ENSG00000284503	miRNA
2763	+	MYLK-AS2	ENSG00000250174	antisense_RNA
281462	-	DHRSX	ENSG00000169084	protein_coding
1286	+	AC063952.3	ENSG00000242613	processed_pseudogene
953	+	AC145141.1	ENSG00000249981	lincRNA
50622	+	UGP2	ENSG00000169764	protein_coding
347	-	AC010401.1	ENSG00000242307	processed_pseudogene
3288	-	AC105446.1	ENSG00000227053	antisense_RNA
694	+	LYPLA1P3	ENSG00000218350	processed_pseudogene
99	+	MIR6078	ENSG00000274809	miRNA
595	+	AC008738.1	ENSG00000267054	sense_intronic
11596	+	UCHL1	ENSG00000154277	protein_coding
225703	+	SAMD4A	ENSG00000020577	protein_coding
16545	-	Z83844.2	ENSG00000233360	antisense_RNA
101	+	Y_RNA	ENSG00000274472	misc_RNA
316	+	IGLC6	ENSG00000222037	IG_C_pseudogene
549	-	AL627309.2	ENSG00000239906	antisense_RNA
102	-	RNU6-130P	ENSG00000223044	snRNA
1496	+	AL352979.2	ENSG00000258985	antisense_RNA
2538	+	LGALS7B	ENSG00000178934	protein_coding
3353	+	ZCCHC3	ENSG00000247315	protein_coding
278	+	AC141002.1	ENSG00000271973	lincRNA
405556	-	AC008591.1	ENSG00000251680	antisense_RNA
863	+	HBA2	ENSG00000188536	protein_coding
984	+	GAPDHP29	ENSG00000178596	processed_pseudogene
383309	+	FMN2	ENSG00000155816	protein_coding
927	-	HNRNPA1P73	ENSG00000236569	processed_pseudogene
7035	+	AC007405.3	ENSG00000239467	lincRNA
5901	-	FDXACB1	ENSG00000255561	protein_coding
524	+	AC004232.3	ENSG00000279031	TEC
123	+	SMAD5-AS1_3	ENSG00000277524	misc_RNA
28847	-	CCNI	ENSG00000118816	protein_coding
609	+	AC005099.1	ENSG00000226624	processed_pseudogene
2134	+	AC093520.1	ENSG00000260757	sense_overlapping
927	-	AP002345.1	ENSG00000233499	unprocessed_pseudogene
109932	-	AFAP1L2	ENSG00000169129	protein_coding
898	-	AC103710.4	ENSG00000273051	unprocessed_pseudogene
14862	-	AC051619.6	ENSG00000259539	3prime_overlapping_ncRNA
88	+	MIR4497	ENSG00000263510	miRNA
779	+	AC010624.2	ENSG00000267890	lincRNA
32721	-	HPGD	ENSG00000164120	protein_coding
378	-	AC067959.1	ENSG00000271629	processed_pseudogene
5466	-	AL139823.1	ENSG00000284616	lincRNA
484	-	AC012186.3	ENSG00000280376	TEC
1891	+	NOG	ENSG00000183691	protein_coding
112143	+	AL390879.2	ENSG00000234062	transcribed_unprocessed_pseudogene
298	+	RN7SL808P	ENSG00000240637	misc_RNA
14291	-	AP005328.2	ENSG00000272461	lincRNA
4450	-	FOXA2	ENSG00000125798	protein_coding
8424	+	LINC02352	ENSG00000259448	lincRNA
55894	-	ABRAXAS1	ENSG00000163322	protein_coding
5245	+	CSTL1	ENSG00000125823	protein_coding
425	-	AC097724.1	ENSG00000273233	lincRNA
30311	-	AC097372.3	ENSG00000251024	lincRNA
91	+	SNORD116-22	ENSG00000275127	snoRNA
482	+	AC008489.1	ENSG00000253946	processed_pseudogene
1556	+	AL627389.1	ENSG00000234969	processed_pseudogene
12953	-	CAVIN2	ENSG00000168497	protein_coding
119	+	RNA5SP210	ENSG00000212336	rRNA
1551	+	SOWAHD	ENSG00000187808	protein_coding
28027	+	NBR2	ENSG00000198496	transcribed_unprocessed_pseudogene
302	+	RN7SL868P	ENSG00000242928	misc_RNA
6499	-	TTLL10-AS1	ENSG00000205231	antisense_RNA
22745	-	C21orf58	ENSG00000160298	protein_coding
9134	-	ZNF878	ENSG00000257446	protein_coding
2657	-	AC137590.1	ENSG00000257000	antisense_RNA
11056	-	AC010504.1	ENSG00000267219	antisense_RNA
77	+	MIR544B	ENSG00000265981	miRNA
90275	+	SPIN1	ENSG00000106723	protein_coding
210419	+	KIAA1109	ENSG00000138688	protein_coding
72410	-	TIMP2	ENSG00000035862	protein_coding
677	-	PTMAP6	ENSG00000237000	processed_pseudogene
13886	-	LYNX1	ENSG00000284505	protein_coding
103704	-	CPEB1	ENSG00000214575	protein_coding
4101	-	AL162595.2	ENSG00000233920	antisense_RNA
9780	-	FP236241.1	ENSG00000277991	lincRNA
2244	-	UBXN10-AS1	ENSG00000225986	antisense_RNA
450	+	TMEM97P1	ENSG00000234030	processed_pseudogene
10667	+	AC082651.1	ENSG00000240687	lincRNA
849	-	VDAC1P2	ENSG00000213856	processed_pseudogene
238	+	RN7SKP60	ENSG00000252794	misc_RNA
1028	-	OR7E162P	ENSG00000234386	unprocessed_pseudogene
2273	-	AP000266.1	ENSG00000232623	antisense_RNA
44436	+	MAML1	ENSG00000161021	protein_coding
1979	-	AL449106.1	ENSG00000273062	antisense_RNA
1376	-	MTND4P12	ENSG00000247627	processed_pseudogene
55065	-	AL390783.1	ENSG00000235020	processed_transcript
89699	+	ZNF503-AS1	ENSG00000226051	lincRNA
569	-	AL359881.2	ENSG00000270035	lincRNA
4351	-	SENCR	ENSG00000254703	antisense_RNA
67	-	SNORD63	ENSG00000206989	snoRNA
723	-	AC064862.2	ENSG00000233962	unprocessed_pseudogene
1367	-	AC063944.2	ENSG00000241218	processed_pseudogene
131	-	SNORA16	ENSG00000201467	snoRNA
21133	+	LINC02153	ENSG00000253199	lincRNA
13180	-	N6AMT1	ENSG00000156239	protein_coding
478	+	AC005102.1	ENSG00000219039	processed_pseudogene
17946	+	ACCS	ENSG00000110455	protein_coding
12879	-	AL021391.1	ENSG00000232363	antisense_RNA
1190	-	RPL3P8	ENSG00000232199	processed_pseudogene
118	-	RNA5S15	ENSG00000201925	rRNA
1905	+	GHET1	ENSG00000281189	lincRNA
1948	+	Z82173.1	ENSG00000230741	antisense_RNA
2819	+	REG3G	ENSG00000143954	protein_coding
106	+	RNU6-536P	ENSG00000200254	snRNA
9077	-	ZNF692	ENSG00000171163	protein_coding
677	+	AC067942.3	ENSG00000249960	processed_pseudogene
66	-	MIR4260	ENSG00000283876	miRNA
1100	-	LINC02184	ENSG00000260854	lincRNA
468	+	AL513327.3	ENSG00000270115	lincRNA
11698	-	RBMY2QP	ENSG00000236718	unprocessed_pseudogene
6118	+	AC007494.2	ENSG00000260744	antisense_RNA
65	-	MIR371B	ENSG00000284568	miRNA
2543	-	AL121768.1	ENSG00000274492	lincRNA
144576	+	AL445433.2	ENSG00000232825	antisense_RNA
1393	+	AL136172.1	ENSG00000269846	antisense_RNA
829	-	NECAP1P1	ENSG00000178503	processed_pseudogene
14527	+	FMO8P	ENSG00000238087	unprocessed_pseudogene
194	-	MTND5P22	ENSG00000238046	processed_pseudogene
639	-	AC005262.2	ENSG00000267139	antisense_RNA
13732	-	AL451070.1	ENSG00000229044	antisense_RNA
5893	+	ZXDB	ENSG00000198455	protein_coding
90	+	SNORD116-28	ENSG00000278123	snoRNA
269	-	RN7SL819P	ENSG00000264251	misc_RNA
11733	-	AC004951.3	ENSG00000241057	transcribed_unprocessed_pseudogene
79	+	MIR4492	ENSG00000264211	miRNA
11190	-	TOR1A	ENSG00000136827	protein_coding
485	+	UBE2V1P6	ENSG00000235995	processed_pseudogene
86	-	MIR153-2	ENSG00000207960	miRNA
1190	-	UBTFL5	ENSG00000204705	unprocessed_pseudogene
1136	+	MTCYBP35	ENSG00000251340	processed_pseudogene
15895	-	GSTA8P	ENSG00000220377	unprocessed_pseudogene
1020	+	SALRNA3	ENSG00000281264	lincRNA
1210	-	AC005495.1	ENSG00000267361	processed_pseudogene
8734	+	FSCN2	ENSG00000186765	protein_coding
8284	-	XKRY	ENSG00000250868	transcribed_unprocessed_pseudogene
18156	+	SULT1C3	ENSG00000196228	protein_coding
3659	+	DNM1P17	ENSG00000250833	unprocessed_pseudogene
175801	-	VWF	ENSG00000110799	protein_coding
2082	+	AL513497.1	ENSG00000279443	TEC
205395	-	CDH9	ENSG00000113100	protein_coding
177816	-	NECTIN3-AS1	ENSG00000242242	antisense_RNA
2580	+	AC010776.1	ENSG00000267269	antisense_RNA
525	-	AC037198.3	ENSG00000278621	antisense_RNA
190	-	RNU2-62P	ENSG00000222800	snRNA
18265	+	AC008277.1	ENSG00000223642	antisense_RNA
23872	+	SERP2	ENSG00000151778	protein_coding
15050	-	PRSS54	ENSG00000103023	protein_coding
20322	-	LINC02088	ENSG00000227685	lincRNA
25855	-	AC145138.1	ENSG00000251634	unprocessed_pseudogene
16597	+	DEGS1	ENSG00000143753	protein_coding
61	-	MIR6869	ENSG00000284436	miRNA
7360	+	AL589765.1	ENSG00000227045	antisense_RNA
21197	-	KCTD13	ENSG00000174943	protein_coding
71	+	MIR8073	ENSG00000276765	miRNA
72	-	SNORD6	ENSG00000202314	snoRNA
323	+	AC087241.2	ENSG00000256774	processed_pseudogene
46681	-	ZC3H7A	ENSG00000122299	protein_coding
225	-	AC105914.1	ENSG00000250200	processed_pseudogene
14907	+	AL358215.3	ENSG00000283999	processed_transcript
26444	+	SUSD3	ENSG00000157303	protein_coding
121907	-	HOMER2	ENSG00000103942	protein_coding
2702	+	AP000679.1	ENSG00000176984	antisense_RNA
764	+	AC078819.1	ENSG00000216285	processed_pseudogene
1178	-	AC009121.1	ENSG00000262703	antisense_RNA
184146	+	SLC16A7	ENSG00000118596	protein_coding
1230	+	TARDBPP2	ENSG00000238213	processed_pseudogene
161402	-	COL4A4	ENSG00000081052	protein_coding
328	-	AC008155.1	ENSG00000213237	processed_pseudogene
435	-	AC135068.2	ENSG00000278263	IG_V_gene
67	+	SNORD19	ENSG00000212493	snoRNA
794	+	AC242426.2	ENSG00000236806	processed_pseudogene
10627	+	ATP6V1G1	ENSG00000136888	protein_coding
276	-	CR545473.1	ENSG00000248155	unprocessed_pseudogene
1748	-	AC078880.4	ENSG00000276308	lincRNA
16736	-	TUBE1	ENSG00000074935	protein_coding
445	-	AC068831.7	ENSG00000275929	unprocessed_pseudogene
732	+	AC091057.3	ENSG00000269974	lincRNA
5283	+	AL161638.1	ENSG00000231949	lincRNA
16003	+	AL135785.1	ENSG00000223716	lincRNA
649	-	AL109936.2	ENSG00000271420	lincRNA
105	-	Y_RNA	ENSG00000199366	misc_RNA
975	-	GAPDHP35	ENSG00000250982	processed_pseudogene
71	+	MIR4755	ENSG00000264616	miRNA
5443	-	LINC01355	ENSG00000261326	lincRNA
102	+	RNU6-1014P	ENSG00000238456	snRNA
15323	+	SIVA1	ENSG00000184990	protein_coding
508	-	ARF4P3	ENSG00000214051	processed_pseudogene
1522	-	MTCO1P8	ENSG00000234700	unprocessed_pseudogene
1714	+	AL109620.1	ENSG00000275508	processed_pseudogene
2976	-	AC134508.1	ENSG00000260670	lincRNA
117850	+	DNAJC3	ENSG00000102580	protein_coding
381	+	AL512413.1	ENSG00000272088	lincRNA
106	+	RNU6-669P	ENSG00000202445	snRNA
7615	-	SNAPC5	ENSG00000174446	protein_coding
322	-	RN7SKP76	ENSG00000201289	misc_RNA
5832	-	AC245052.4	ENSG00000237017	antisense_RNA
63368	-	UTS2B	ENSG00000188958	protein_coding
121346	-	MB21D2	ENSG00000180611	protein_coding
1980	+	DUSP5P2	ENSG00000235338	processed_pseudogene
134	-	SNORA48	ENSG00000212181	snoRNA
31707	+	GRAPL	ENSG00000189152	protein_coding
67621	+	AL033384.1	ENSG00000236740	lincRNA
83868	+	SPAG1	ENSG00000104450	protein_coding
79	-	snoU2_19	ENSG00000199894	snoRNA
511	-	NIP7P1	ENSG00000232805	processed_pseudogene
6016	-	AC027088.3	ENSG00000259265	antisense_RNA
293	+	RN7SL468P	ENSG00000264833	misc_RNA
2861	+	GPX4	ENSG00000167468	protein_coding
