# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANKRD30BP2	ENSG00000224309	ENST00000435744	transcribed_unprocessed_pseudogene	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ANKRD30BP2	ENSG00000224309	ENST00000447861	retained_intron	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ANKRD30BP2	ENSG00000224309	ENST00000471407	processed_transcript	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ANKRD30BP2	ENSG00000224309	ENST00000507941	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AP000254.8	ENSG00000273271	ENST00000609934	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP000295.9	ENSG00000249624	ENST00000432231	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AP000295.9	ENSG00000249624	ENST00000433395	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AP000304.12	ENSG00000249209	ENST00000429238	protein_coding	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0
AP000320.7	ENSG00000272657	ENST00000362077	processed_transcript	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AP000568.2	ENSG00000229336	ENST00000282964	processed_pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
AP000692.9	ENSG00000228107	ENST00000397184	sense_overlapping	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP001432.14	ENSG00000242553	ENST00000440629	lincRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP003900.6	ENSG00000277693	ENST00000616952	lincRNA	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AP003900.6	ENSG00000277693	ENST00000622592	lincRNA	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000346798	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000348990	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000354192	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000357903	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000358918	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000359726	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000439274	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000440126	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000448850	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
APP	ENSG00000142192	ENST00000462267	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
APP	ENSG00000142192	ENST00000474136	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BACE2	ENSG00000182240	ENST00000328735	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BACE2	ENSG00000182240	ENST00000330333	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BACE2	ENSG00000182240	ENST00000347667	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BACE2	ENSG00000182240	ENST00000466122	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BACE2	ENSG00000182240	ENST00000470864	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BACE2	ENSG00000182240	ENST00000487994	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BACE2	ENSG00000182240	ENST00000491838	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BACH1	ENSG00000156273	ENST00000286800	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BACH1	ENSG00000156273	ENST00000399921	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
BACH1	ENSG00000156273	ENST00000422809	protein_coding	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	2
BACH1	ENSG00000156273	ENST00000435072	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BACH1	ENSG00000156273	ENST00000447177	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BACH1	ENSG00000156273	ENST00000451655	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BACH1	ENSG00000156273	ENST00000468059	protein_coding	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	2
BACH1	ENSG00000156273	ENST00000546469	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BACH1	ENSG00000156273	ENST00000547141	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BACH1	ENSG00000156273	ENST00000548219	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BACH1	ENSG00000156273	ENST00000548467	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BACH1	ENSG00000156273	ENST00000550131	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BAGE2	ENSG00000187172	ENST00000470054	processed_transcript	0	0	0	40	0	0	0	0	2	0	14	0	24	0	0	0	0	0
BAGE2	ENSG00000187172	ENST00000474011	processed_transcript	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
BAGE2	ENSG00000187172	ENST00000496773	transcribed_unprocessed_pseudogene	0	0	0	42	0	0	0	0	2	0	16	0	24	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000333229	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000342449	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000380800	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000412604	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000424441	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000430093	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000445245	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000445668	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000446924	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000455867	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000473813	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRWD1	ENSG00000185658	ENST00000496759	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
BRWD1-IT1	ENSG00000237373	ENST00000435608	sense_overlapping	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BX322557.10	ENSG00000215447	ENST00000400362	lincRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BX322557.10	ENSG00000215447	ENST00000454115	antisense	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000286788	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000431234	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000432178	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CCT8	ENSG00000156261	ENST00000470450	processed_transcript	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000475205	retained_intron	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	4
CCT8	ENSG00000156261	ENST00000480359	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCT8	ENSG00000156261	ENST00000481059	processed_transcript	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000484403	retained_intron	0	0	0	6	0	0	0	0	2	0	4	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000494296	processed_transcript	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000496121	retained_intron	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCT8	ENSG00000156261	ENST00000540844	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
CCT8	ENSG00000156261	ENST00000626972	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
CHODL	ENSG00000154645	ENST00000299295	protein_coding	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
CHODL	ENSG00000154645	ENST00000338326	protein_coding	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2
CHODL	ENSG00000154645	ENST00000400127	protein_coding	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
CHODL	ENSG00000154645	ENST00000400128	protein_coding	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
CHODL	ENSG00000154645	ENST00000400131	protein_coding	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
CHODL	ENSG00000154645	ENST00000400135	protein_coding	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
CHODL	ENSG00000154645	ENST00000543733	protein_coding	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
COL6A1	ENSG00000142156	ENST00000361866	protein_coding	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0
COL6A1	ENSG00000142156	ENST00000463060	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
COL6A1	ENSG00000142156	ENST00000466285	retained_intron	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
COL6A1	ENSG00000142156	ENST00000486023	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
COL6A1	ENSG00000142156	ENST00000492851	retained_intron	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
COL6A1	ENSG00000142156	ENST00000498614	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
COL6A1	ENSG00000142156	ENST00000612273	protein_coding	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000300527	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000310645	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000397763	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000409416	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000413758	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
COL6A2	ENSG00000142173	ENST00000436769	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000460886	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
COL6A2	ENSG00000142173	ENST00000485591	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000290244	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000361534	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000381540	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000381554	protein_coding	0	2	0	4	0	0	0	0	2	0	2	0	0	2	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000413017	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000417979	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000420072	nonsense_mediated_decay	0	2	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000426935	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000429827	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000431177	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000437996	nonsense_mediated_decay	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000440526	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000441940	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000445393	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000452420	nonsense_mediated_decay	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000468349	retained_intron	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000480893	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CRYZL1	ENSG00000205758	ENST00000488167	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CRYZL1	ENSG00000205758	ENST00000490714	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DIP2A	ENSG00000160305	ENST00000400274	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
DIP2A	ENSG00000160305	ENST00000417564	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
DIP2A	ENSG00000160305	ENST00000478105	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
DIP2A	ENSG00000160305	ENST00000479654	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000303071	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000303113	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000417871	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000432378	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000437395	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000439593	nonsense_mediated_decay	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000440810	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000442660	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000444517	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000453626	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000457359	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DONSON	ENSG00000159147	ENST00000462566	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DOPEY2	ENSG00000142197	ENST00000399151	protein_coding	0	2	0	2	0	0	0	0	0	0	4	0	0	0	0	2	0	0
DOPEY2	ENSG00000142197	ENST00000492760	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCAM	ENSG00000171587	ENST00000400454	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000309117	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000398998	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000399000	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000399001	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000475009	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000476950	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000480452	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000488368	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000492514	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
DSCR3	ENSG00000157538	ENST00000495858	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EIF3FP1	ENSG00000275945	ENST00000613970	processed_pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ETS2	ENSG00000157557	ENST00000360214	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ETS2	ENSG00000157557	ENST00000360938	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ETS2	ENSG00000157557	ENST00000432278	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ETS2	ENSG00000157557	ENST00000456966	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
FDX1P2	ENSG00000227054	ENST00000450769	processed_pseudogene	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GABPA	ENSG00000154727	ENST00000354828	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0
GABPA	ENSG00000154727	ENST00000400075	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0
GABPA	ENSG00000154727	ENST00000487266	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
GART	ENSG00000159131	ENST00000361093	protein_coding	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000366093	nonsense_mediated_decay	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	2
GART	ENSG00000159131	ENST00000381815	protein_coding	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000381831	protein_coding	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000381839	protein_coding	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000424203	nonsense_mediated_decay	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000426819	protein_coding	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000430874	protein_coding	2	0	0	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000438059	protein_coding	2	0	0	2	0	0	0	0	2	0	2	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000441403	protein_coding	2	0	0	2	0	0	0	0	2	0	2	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000466882	retained_intron	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	2
GART	ENSG00000159131	ENST00000467575	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GART	ENSG00000159131	ENST00000476524	retained_intron	2	0	0	2	0	0	0	0	2	0	2	0	0	0	2	0	0	0
GART	ENSG00000159131	ENST00000488791	retained_intron	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
GART	ENSG00000159131	ENST00000497313	processed_transcript	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	2
GRIK1	ENSG00000171189	ENST00000327783	protein_coding	0	4	0	2	0	0	0	0	0	0	6	0	0	0	0	4	0	0
GRIK1	ENSG00000171189	ENST00000389124	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
GRIK1	ENSG00000171189	ENST00000389125	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
GRIK1	ENSG00000171189	ENST00000399913	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
GRIK1	ENSG00000171189	ENST00000399914	protein_coding	0	4	0	2	0	0	0	0	0	0	6	0	0	0	0	4	0	0
GTF2IP2	ENSG00000226930	ENST00000424290	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
HUNK	ENSG00000142149	ENST00000270112	protein_coding	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
HUNK	ENSG00000142149	ENST00000430354	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
HUNK	ENSG00000142149	ENST00000439107	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
HUNK	ENSG00000142149	ENST00000465574	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
IL10RB	ENSG00000243646	ENST00000290200	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
IL10RB	ENSG00000243646	ENST00000422891	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
IL10RB	ENSG00000243646	ENST00000451065	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
IL10RB	ENSG00000243646	ENST00000493295	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
IL10RB	ENSG00000243646	ENST00000498371	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ITGB2	ENSG00000160255	ENST00000302347	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ITGB2	ENSG00000160255	ENST00000355153	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ITGB2	ENSG00000160255	ENST00000397850	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
